source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'The Guardian'}","Andrew Sparrow, Lisa O'Carroll, Severin Carrell",UK Covid live: PM says people should not cancel Christmas events after highest cases since 17 July recorded - The Guardian,"Latest updates: Boris Johnson says ‘no need’ to cancel Christmas events as UK reports 53,945 daily coronavirus cases",https://www.theguardian.com/politics/live/2021/dec/02/uk-covid-live-minister-christmas-parties-omicron-variant-boris-johnson-vaccination-latest-updates,https://i.guim.co.uk/img/media/e7ff5a31a31b06edc2ca5b9e29ac237cb2a8644c/0_221_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctbGl2ZS5wbmc&enable=upscale&s=77e10e7d1323026d47a43de28aef455c,2021-12-02T16:23:40Z,"Nicola Sturgeon has apologised after admitting people had been wrongly turned away from Covid booster jab appointments, as she came under intense pressure from the Scottish Conservative leader, Dougl… [+1858 chars]"
"{'id': None, 'name': 'Sky.com'}",Sky,Arthur Labinjo-Hughes: Father and girlfriend found guilty over death of six-year-old boy - Sky News,,https://news.sky.com/story/arthur-labinjo-hughes-father-and-girlfriend-found-guilty-over-death-of-six-year-old-boy-12483772,https://e3.365dm.com/21/11/1600x900/skynews-arthur-labinjo-hughes_5588203.jpg?20211119133739,2021-12-02T16:10:20Z,NULL
"{'id': None, 'name': 'ComicBook.com'}",Tyler Fischer,The Matrix Awakens Leaked - Comicbook.com,"The Matrix Awakens has leaked online ahead of what many assume will be a reveal at The Game Awards 2021 next week. More specifically, The Matrix Awakens; An Unreal Engine 5 Experience has leaked online, courtesy of the PSN, which uploaded 'The Matrix Awakens:…",https://comicbook.com/gaming/news/the-matrix-awakens-ps5-ps4-psn-playstation-game-leaked/,https://sportshub.cbsistatic.com/i/2021/12/02/56684ad1-0984-4cd2-bf47-e26608b0b1db/a.jpg,2021-12-02T16:03:00Z,"The Matrix Awakens has leaked online ahead of what many assume will be a reveal at The Game Awards 2021 next week. More specifically, The Matrix Awakens; An Unreal Engine 5 Experience has leaked onli… [+1905 chars]"
"{'id': 'independent', 'name': 'Independent'}",Foreign Staff,Christmas party in Norway infects up to 60 in suspected omicron outbreak - The Independent,"If confirmed, it will be the world’s biggest omicron outbreak to date",https://www.independent.co.uk/news/world/europe/norway-covid-christmas-party-omicron-b1968467.html,https://static.independent.co.uk/2021/12/02/12/h_57296460.jpg?width=1200&auto=webp&quality=75,2021-12-02T15:35:16Z,"More than 50 people in Norway have been infected with Covid after a Christmas party that is likely to prove the worlds biggest outbreak of the new omicron variant. 
One of the party-goers has tested… [+1332 chars]"
"{'id': None, 'name': 'Mirror Online'}",Lucy Needham,Apprentice star Tom Allen shares heartbreak as his dad dies suddenly at home - Mirror.co.uk,Comedian Tom Allen has revealed he is 'total shock' after his beloved dad died suddenly on Tuesday night,https://www.mirror.co.uk/3am/celebrity-news/breaking-apprentice-star-tom-allen-25601688,https://i2-prod.mirror.co.uk/incoming/article25601663.ece/ALTERNATES/s1200/0_MAIN_CHP_021221SLUG_12909.jpg,2021-12-02T15:29:50Z,"Apprentice star Tom Allen has revealed he is in 'total shock' after the sudden death of his dad Paul on Tuesday night.
The comedian took to Instagram to share his tragic news as he told followers hi… [+2670 chars]"
"{'id': 'independent', 'name': 'Independent'}",Thomas Kingsley,Germany could make vaccines mandatory from early next year - The Independent,"‘The situation is our country is serious,’ said Angela Merkel",https://www.independent.co.uk/news/world/europe/germany-unvaccinated-ban-shops-venues-b1968535.html,https://static.independent.co.uk/2021/11/23/12/newFile-4.jpg?width=1200&auto=webp&quality=75,2021-12-02T15:25:36Z,"German Chancellor Angela Merkel said Thursday that people who are not vaccinated will be excluded from nonessential stores, cultural and recreational venues, and parliament will consider a general va… [+3126 chars]"
"{'id': None, 'name': 'Eurogamer.net'}",Ishraq Subhan,Battlefield 2042 is getting a Santa Claus skin and players hate it - Eurogamer.net,NULL,https://www.eurogamer.net/articles/2021-12-02-battlefield-2042-is-getting-a-santa-claus-skin-and-players-hate-it,https://d2skuhm0vrry40.cloudfront.net/2021/articles/2021-12-02-14-59/battlefield-2042-is-getting-a-santa-claus-skin-and-players-hate-it-1638457190491.jpg/EG11/resize/1200x-1/battlefield-2042-is-getting-a-santa-claus-skin-and-players-hate-it-1638457190491.jpg,2021-12-02T15:00:29Z,"To say Battlefield 2042 had a rough launch would be an understatement. 
DICE has been scrambling to patch the game after it arrived riddled with bugs. But just as it has started to quell the communi… [+2090 chars]"
"{'id': None, 'name': 'The Guardian'}",Jon Henley,"Germany could make Covid vaccination mandatory, says Merkel - The Guardian",Outgoing chancellor says ‘act of national solidarity’ required to meet challenge of rapidly rising cases,https://amp.theguardian.com/world/2021/dec/02/germany-could-make-covid-vaccination-mandatory-says-merkel,https://i.guim.co.uk/img/media/93a4cd892e67c0f583af9c75efd7be3dc297ab87/131_0_2157_1294/master/2157.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=9bd3a117b9f384038a1ed623e5ea18e5,2021-12-02T14:41:00Z,"Vaccination could become mandatory in Germany from February, with tough extra restrictions also applying to people who are unvaccinated, the countrys outgoing chancellor, Angela Merkel, has announced… [+2578 chars]"
"{'id': None, 'name': 'Sky.com'}",Sky,Storm Arwen: Armed forces to be deployed in Scotland to areas cut off by storm - Sky News,,https://news.sky.com/story/storm-arwen-armed-forces-to-be-deployed-in-scotland-to-areas-cut-off-by-storm-12484581,https://e3.365dm.com/21/12/1600x900/skynews-storm-arwen-snow_5602258.jpg?20211202142652,2021-12-02T14:15:00Z,NULL
"{'id': None, 'name': 'Telegraph.co.uk'}","By
Robbie Collin,","West Side Story, review: Spielberg's magnificent remake is his finest film in 20 years - The Telegraph",The director's first musical feels as definitive as the previous screen adaptation and a timely testament to the genius of Stephen Sondheim,https://www.telegraph.co.uk/films/2021/12/02/west-side-story-review-spielbergs-magnificent-remake-finest/,https://www.telegraph.co.uk/content/dam/films/2021/12/02/TELEMMGLPICT000248675122_trans_NvBQzQNjv4BqK_vgMZMtToVksLIt2InIPf2y-wlPAGAdEo1iKHmOwyU.jpeg?impolicy=logo-overlay,2021-12-02T14:00:00Z,"Among the handful of New Hollywood legends still working today, Steven Spielberg may be the hardest to second guess. With Martin Scorsese, or David Lynch, or Paul Schrader, or Robert Zemeckis, you kn… [+2555 chars]"
"{'id': None, 'name': 'The Guardian'}",Richard Partington,Dining out in UK at lowest level since May amid Omicron fears - The Guardian,Data comes as hospitality bosses report cancellations for Christmas parties and events,https://amp.theguardian.com/business/2021/dec/02/dining-out-in-uk-at-lowest-level-since-may-amid-omicron-fears,https://i.guim.co.uk/img/media/b73c4a6bbd1e1a7e31b72da80d1b9874a081c526/998_587_1500_900/master/1500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=6d8bba1e21bd0864a485adf60179ff10,2021-12-02T13:36:00Z,"The number of people dining out across the UK has fallen to the lowest level since the reopening of indoor hospitality, according to restaurant industry figures covering the first few days since news… [+2957 chars]"
"{'id': None, 'name': 'Sky.com'}",Tom Parmenter,Peng Shuai: IOC to meet Chinese tennis player in person next month after 'quiet diplomacy' - Sky News,,https://news.sky.com/story/peng-shuai-ioc-to-meet-chinese-tennis-player-in-person-next-month-after-quiet-diplomacy-12484503,https://e3.365dm.com/21/11/1600x900/skynews-peng-shui-china-tennis_5586909.jpg?20211118123946,2021-12-02T13:33:39Z,NULL
"{'id': None, 'name': 'The Guardian'}",Jamie Jackson,Ralf Rangnick to take charge of first Manchester United match on Sunday - The Guardian,"While Michael Carrick will continue against Arsenal, Ralf Rangnick has a work visa and will be Manchester United manager against Crystal Palace",https://amp.theguardian.com/football/2021/dec/02/ralf-rangnick-to-take-charge-of-first-manchester-united-match-on-sunday-crystal-palace,NULL,2021-12-02T13:24:00Z,"Manchester United<ul><li>German gets work visa to be manager against Crystal Palace</li><li>Michael Carrick to oversee Thursdays game against Arsenal</li></ul>
Ralf Rangnick will take charge of his … [+1272 chars]"
"{'id': None, 'name': 'ISPreview.co.uk'}","Mark Jackson, Mark Jackson",Virgin Media O2 UK Suffers National Outage of Pay TV Service UPDATE3 - ISPreview.co.uk,Customers of broadband ISP Virgin Media (VMO2) are this morning reporting that the operator appears to be suffering from a major national outage of their TV pla,https://www.ispreview.co.uk/index.php/2021/12/virgin-media-o2-uk-suffers-national-outage-of-pay-tv-service.html,https://www.ispreview.co.uk/wp-content/uploads/2020/11/nggallery_import/virgin_tv_360.jpg,2021-12-02T12:14:00Z,"Customers of broadband ISP Virgin Media (VMO2) are this morning reporting that the operator appears to be suffering from a major national outage of their TV platform – impacting their Live TV, On dem… [+2239 chars]"
"{'id': None, 'name': 'Mirror Online'}",Harry Thompson,13 health warning signs on tongue you must not ignore – including Covid symptom - Mirror.co.uk,"Oral health can be tricky if you don't know what to look out for, and your tongue health can actually flag warning signs - here's what you should be paying attention to",https://www.mirror.co.uk/lifestyle/health/13-health-warning-signs-tongue-25587471,https://i2-prod.dailystar.co.uk/incoming/article25587820.ece/ALTERNATES/s1200/0_Woman-rolling-tongue-close-up.jpg,2021-12-02T11:56:53Z,"Your tongue can be easy to forget about. In fact, its presence in your mouth often overlooked until you accidentally bite it, but it is also a powerful and incredibly helpful part of the body.
Measu… [+5050 chars]"
"{'id': None, 'name': 'Sky.com'}",James Sillars,"EU fines banks including Barclays, NatWest and HSBC £293m over 'Sterling Lads' currency cartel - Sky News",,https://news.sky.com/story/eu-fines-banks-including-barclays-natwest-and-hsbc-293m-for-currency-cartel-12484431,https://e3.365dm.com/21/10/1600x900/skynews-european-commission_5544408.jpg?20211012175853,2021-12-02T11:54:58Z,NULL
"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,£1m Police Scotland payout over M9 crash death - BBC News,"The family of Lamara Bell say their ""pain and loss won't stop"" despite the settlement over police failings.",https://www.bbc.co.uk/news/uk-scotland-59503672,https://ichef.bbci.co.uk/news/1024/branded_news/B66E/production/_120420764_lamarabell.jpg,2021-12-02T11:25:49Z,"The family of M9 crash victim Lamara Bell is to receive more than £1m in compensation from Police Scotland.
The force previously admitted failures in its call-handling system ""materially contributed… [+3179 chars]"
"{'id': 'talksport', 'name': 'TalkSport'}",Sean O'Brien,"Rafael Benitez will NOT be sacked, confirms Everton owner Farhad Moshiri – who puts shocking form down to i... - talkSPORT.com",,https://talksport.com/football/994269/benitez-sacked-everton-moshiri-form-injuries-transfers-liverpool/,https://talksport.com/wp-content/uploads/sites/5/2021/12/TALKSPORT-BENITEZ-MOSHIRI.jpg?strip=all&quality=100&w=750&h=500&crop=1,2021-12-02T10:50:11Z,"Everton owner Farhad Moshiri has thrown his weight behind manager Rafael Benitez and promised a transfer budget in an exclusive statement on talkSPORT.
The Toffees’ winless run stretched to eight ga… [+1529 chars]"
"{'id': None, 'name': 'Wales Online'}",Corrie David,Are lateral flow tests effective in detecting the Omicron variant? Everything we know so far - WalesOnline,"Data is still being collected on the new variant, but this is what we know",https://www.walesonline.co.uk/news/uk-news/are-lateral-flow-effective-omicron-22338999,https://i2-prod.walesonline.co.uk/incoming/article22339029.ece/ALTERNATES/s1200/0_Swansea-University-Tests-Students-For-COVID-19-Ahead-Of-Their-Holiday-Exodus.jpg,2021-12-02T10:49:59Z,"In the last week, the latest coronavirus variant, Omicron, has stirred concerns around the world. 
Little is known about the new variant, however, scientists do believe it is more transmissible than… [+1828 chars]"
"{'id': None, 'name': 'Telegraph.co.uk'}",NULL,Live Covid latest news: 'Trigger' of blood clots with AstraZeneca jab found by scientists - Telegraph.co.uk,Scientists believe they may have found the &quot;trigger&quot; behind the extremely rare blood clot complications stemming from the Oxford/AstraZeneca vaccine.,https://www.telegraph.co.uk/global-health/science-and-disease/covid-news-coronavirus-omicron-cases-booster-jab-vaccine-lockdown/,https://www.telegraph.co.uk/content/dam/global-health/2021/12/02/TELEMMGLPICT000279384496_trans_NvBQzQNjv4Bqxb5dtL_ELTE6B8DtWJJotCrQYo3SkySopgii1ZeDLdo.jpeg?impolicy=logo-overlay,2021-12-02T10:36:00Z,"A headache has returned to the post-Covid travel checklist: Day 2 PCR tests. This time, however, it comes with a fresh pain self-isolation until you receive a negative result. 
Before this Tuesday y… [+958 chars]"
